block_num, xor_spent, pswap_gross_burn, pswap_reminted_lp, pswap_reminted_parliament, pswap_net_burn
199801, 5574638178598867, 10610287050377219082, 9500016003138696500, 1061028705037721908, 49242342200800674
199955, 343397209407416336, 653388657828547279346, 585017415284710263487, 65338865782854727934, 3032376760982287925
200423, 16977455137137918, 32141745473378065507, 28778401085298311354, 3214174547337806550, 149169840741947603
200503, 95187957021040518, 180221052519857822794, 161362541363127380359, 18022105251985782279, 836405904744660156
201118, 2608695652173914, 4928064508113120699, 4412386909919655635, 492806450811312069, 22871147382152995
201664, 513622231251264, 970014734638125494, 868165127530591593, 97001473463812549, 4848133643721352
202659, 9879566616, 18701045691312, 16737473295815, 1870104569131, 93467826366
203607, 6766369135983767833, 12670717408123622242775, 11340317421705458154528, 1267071740812362224277, 63328245605801863970
203659, 9801815829971816997, 18303916356500557373225, 16382041746900711850151, 1830391635650055737322, 91482973949789785752
204346, 7288886721135153948, 13606623921869848182122, 12177955623321357862695, 1360662392186984818212, 68005906361505501215
204770, 13499972175071115865, 25141242502442945364934, 22501462322171440987506, 2514124250244294536493, 125655930027209840935
205127, 99359141010840, 184861011467492803, 165450974985428993, 18486101146749280, 923935335314530
206485, 1366465008780077, 2574802316813469652, 2304453223152688965, 257480231681346965, 12868861979433722
206858, 3689829553767251, 6962389812524848705, 6231352806989364640, 696238981252484870, 34798024282999195
206924, 377553131595815, 712410076823167849, 637608443576888871, 71241007682316784, 3560625563962194
206942, 7769842047686178, 14661015766643931623, 13121638433177852090, 1466101576664393162, 73275756801686371
207245, 600000000000000, 1132089986329319508, 1013222801944713618, 113208998632931950, 5658185751673940
207270, 1143298268246891, 2155358851097576028, 1929050482450032740, 215535885109757602, 10772483537785686
207445, 6420803062091172, 12108368592127284348, 10837014106691103746, 1210836859212728434, 60517626223452168
207475, 502389671879714, 947102665338113449, 847658779682942213, 94710266533811344, 4733619121359892
208302, 7822085928899348, 14705071278509810244, 13161068204408837188, 1470507127850981024, 73495946249992032
208716, 30000000000000, 56451127403507120, 50523871928393679, 5645112740350712, 282142734762729
209478, 8808581281064, 16794197757336971, 15030840581212103, 1679419775733697, 83937400391171
209633, 147785656154295, 282554783074539786, 252887095961279257, 28255478307453978, 1412208805806551
210384, 12105216907474366, 22974444489217138596, 20562173766738317477, 2297444448921713859, 114826273557107260
210412, 2498579801275425, 4742042914402531800, 4244137892476094766, 474204291440253180, 23700730486183854
210613, 94855168748519419, 180017180163534289139, 161115736280723515847, 18001718016353428913, 899725866457344379
210772, 32015572568806215, 60740426000936892368, 54362802751690520543, 6074042600093689236, 303580649152682589
210774, 2145888262382998, 4071207372508804772, 3643738740810125288, 407120737250880477, 20347894447799007
